name,smiles,pdb
SSH,O=C(O)c2ccc(N=Cc1ccc(O)cc1O)cc2,5ak6
BZB,O=C(Nc1ccccc1)c2ccc(O)cc2O,5akk
GIJ,CC(=O)c2ccc(N=Cc1ccc(O)cc1O)cc2,5ai8
NKL,Oc4ccc(C=Nc3ccc(c2nc1ccccc1[nH]2)cc3)c(O)c4,5akl
LCF,Oc2cc(O)c(C=Nc1ccc(F)cc1)cc2Cl,5am2
ZCG,O=C(c1ccccc1)c2cc(Cl)ccc2N=Cc3cc(Cl)c(O)cc3O,5alr
SAB,CCOC(=O)C1=C(C)NC(=S)NC13C(=O)Nc2ccccc23,5alv
GIT,COc4ccc(C3=NN(C(=O)c1ccncc1)C(c2cc(OC)c(OC)c(OC)c2)C3)cc4OC,5alj
GUD,COc4ccc(C3=NN(C(=O)c1ccncc1)C(c2cc(OC)c(OC)c(OC)c2)C3)cc4,6hgv
,,7a7g
,,7p4k
,,7a7g
,,7p4k
,,5mwa
,,7ots
,,7ots
,,2ock
,,2oci
,,2ocl
,,1hlg
,,7l4u
,,7l4t
,,6l4b
,,6l4g
,,3c5v
,,7l4u
,,2xmr
,,6bq0
,,7l50
,,6zmm
,,4uuq
,,6v7n
,,6zmm
,,6l4h
,,7l50
,,3c5w
,,6l4h
,,6l4g
,,7l50
,,3jwe
,,2xms
,,2xmq
,,4knw
,,3k1z
,,1imj
,,4knv
,,4knv
,,6qgq
,,1zs9
,,3k2i
,,2wm8
,,1yns
,,3g0d
,,6eos
,,1pfq
,,3jyh
,,5kby
,,4a5s
,,3qbj
,,3g0g
,,1u8e
,,3opm
,,7a3i
,,3hlk
,,3g0d
,,3hlk
,,2onc
,,4g1f
,,7a3j
,,7f8h
,,5ye8
,,5i9i
,,3geb
,,5zma
,,7f8h
,,7zwh
,,5alq
,,5als
,,5aki
,,5fp0
,,5ai0
,,7obm
,,1s8o
,,5ai4
,,3i1y
,,5als
,,4y2q
,,5akg
,,3otq
,,5alj
,,5akl
,,5alq
,,3hju
,,3c5w
,,3k1z
,,1zs9
,,3u0v
,,3n2z
,,2x4d
,,3d59
,,3hb0
,,4wjl
,,3pdc
